Datetime,Open,High,Low,Close,Volume_(BTC)
2011-12-31,4.39,4.58,4.39,4.58,95.3178781
2012-01-01,4.58,5.0,4.58,5.0,21.601999999999997
2012-01-02,5.0,5.0,5.0,5.0,19.048
2012-01-03,5.32,5.32,5.14,5.29,88.03728091999999
2012-01-04,4.93,5.72,4.93,5.72,112.23326023
2012-01-05,5.75,6.65,5.75,6.65,89.80182926
2012-01-06,6.65,6.9,6.0,6.0,33.88274671
2012-01-07,6.8,6.8,6.8,6.8,0.29585799
2012-01-08,6.9,7.0,6.9,7.0,5.0
2012-01-09,6.99,6.99,6.23,6.3,66.86932290000004
2012-01-10,6.24,7.14,6.24,7.14,62.28998018
2012-01-11,7.14,7.33,6.25,7.0,105.35893402000004
2012-01-12,6.95,7.38,6.51,6.51,82.30163181
2012-01-13,6.8,7.36,6.4,6.4,61.57014484
2012-01-14,6.3,6.3,6.3,6.3,4.236
2012-01-15,7.15,7.15,7.15,7.15,16.699300700000002
2012-01-16,6.2,7.1,6.2,7.1,12.64929577
2012-01-17,6.5,6.9,5.99,6.3,163.87722285
2012-01-18,6.1,7.1,6.0,7.1,50.08355450999999
2012-01-19,5.52,7.0,5.52,6.22,246.71581895
2012-01-20,6.9,6.95,6.55,6.95,95.82599863
2012-01-21,6.3,6.77,6.28,6.77,81.41385241
2012-01-22,6.79,6.83,6.03,6.79,81.27103303000001
2012-01-23,6.5,6.52,6.0,6.52,94.92062909
2012-01-24,6.52,6.57,6.0,6.55,85.44624147
2012-01-25,6.26,6.86,6.0,6.31,81.12325639999999
2012-01-26,6.27,6.3,3.8,6.03,30.485919669999994
2012-01-27,5.0,5.88,5.0,5.88,91.51314377999995
2012-01-28,4.91,4.91,4.91,4.91,0.25
2012-01-29,5.89,5.9,5.3,5.5,9.45484643
2012-01-30,5.3,5.58,5.3,5.58,15.159999999999998
2012-01-31,5.7,6.22,3.8,5.3,110.50333334000001
2012-02-01,5.53,5.99,5.52,5.99,14.19880628
2012-02-02,5.89,6.31,5.89,6.04,264.93481836
2012-02-03,6.32,6.35,5.93,6.3,139.47856485
2012-02-04,6.35,6.5,5.92,5.92,77.79636624000001
2012-02-05,5.92,6.15,5.6,5.6,37.68905181
2012-02-06,5.6,5.9,5.2,5.6,29.178338330000003
2012-02-07,5.5,5.88,5.5,5.69,165.40541896000002
2012-02-08,5.79,5.87,5.66,5.87,83.57202010999998
2012-02-09,5.52,5.89,5.51,5.89,83.60318875
2012-02-10,5.88,5.88,5.8,5.88,176.93050374999996
2012-02-11,5.71,5.71,5.5,5.5,1.8794878
2012-02-12,5.78,5.78,5.55,5.67,64.8434324
2012-02-13,5.53,5.79,5.5,5.79,99.78443902
2012-02-14,5.2,5.8,4.56,4.89,128.34493428000002
2012-02-15,4.9,5.08,4.3,4.3,89.65916535000001
